,id,prob
0,E370,0.42264593
1,E667,0.7725614
2,E3190,0.5015149
3,E848,0.53001386
4,E2161,0.50547135
5,E1391,1.0
6,E1084,0.40018904
7,E1801,0.981324
8,E2730,0.8961821
9,E828,0.30355442
10,E1795,0.22163275
11,E1880,0.7088719
12,E1948,0.42653087
13,E1545,0.7742961
14,E2904,0.22799969
15,E2835,0.41753122
16,E2349,0.41753122
17,E2046,0.60090834
18,E1229,0.4115364
19,E2845,0.47640398
20,E2125,1.0
21,E3127,0.5220837
22,E1721,0.99874383
23,E1253,0.22480057
24,E3050,0.16320936
25,E212,0.00061377656
26,E3193,0.9982888
27,E1195,0.48458543
28,E699,0.5220837
29,E2930,0.9703259
30,E963,0.7654057
31,E2848,0.43969175
32,E2261,0.7888639
33,E2091,1.0
34,E3113,0.40018904
35,E2717,0.45832285
36,E1775,0.8516434
37,E1922,0.9982893
38,E2239,1.0
39,E1074,0.47886157
40,E552,0.99374974
41,E1657,0.54129046
42,E943,0.5776187
43,E1139,0.29588592
44,E2663,0.48930994
45,E2992,0.22799969
46,E3111,0.94401735
47,E1885,0.59157664
48,E2428,1.0
49,E1627,0.51011395
50,E2575,0.48458543
51,E824,0.54968786
52,E660,0.22799969
53,E1706,0.1642263
54,E863,0.9992188
55,E1289,0.28245836
56,E389,1.0
57,E802,0.5175534
58,E520,0.9832055
59,E1829,0.9292703
60,E2307,0.99814725
61,E566,0.30743197
62,E451,0.30743197
63,E353,0.48930994
64,E201,0.43659142
65,E1736,0.81308013
66,E2320,0.47408393
67,E207,0.88868165
68,E1971,0.44075108
69,E312,0.5997
70,E1968,0.25181037
71,E1170,0.93035096
72,E625,0.47408393
73,E3170,0.35065275
74,E3087,0.9985227
75,E2913,0.55805576
76,E2006,0.9832055
77,E133,0.99981505
78,E646,0.82545257
79,E17,1.0
80,E1474,0.42814633
81,E1846,0.6448534
82,E1689,0.3708571
83,E1990,0.9531021
84,E374,0.957767
85,E1027,0.5016495
86,E1428,0.99977916
87,E488,0.31754035
88,E1056,0.90427
89,E1303,0.98193216
90,E1740,0.98134756
91,E2264,1.0
92,E1758,0.8911253
93,E8,0.52024555
94,E2298,0.5596511
95,E1731,0.28617838
96,E1475,0.97510684
97,E2510,0.5015149
98,E1857,0.5660571
99,E834,0.20455743
100,E1380,0.98406094
101,E1588,0.25181037
